,id,datum,m01ab,m01ae,n02ba,n02be,n05b,n05c,r03,r06,year,Drug Classification
40,2647,2014-11-02,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014,Musculo-Skeletal System Drugs
41,2648,2014-12-02,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2014,Musculo-Skeletal System Drugs
42,2649,2014-02-13,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
43,2650,2014-02-14,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,2014,Musculo-Skeletal System Drugs
44,2651,2014-02-15,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,2014,Musculo-Skeletal System Drugs
45,2652,2014-02-16,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,2014,Musculo-Skeletal System Drugs
46,2653,2014-02-17,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2014,Musculo-Skeletal System Drugs
47,2654,2014-02-18,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,2014,Musculo-Skeletal System Drugs
48,2655,2014-02-19,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2014,Musculo-Skeletal System Drugs
49,2656,2014-02-20,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2014,Musculo-Skeletal System Drugs
50,2657,2014-02-21,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
51,2658,2014-02-22,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,2014,Musculo-Skeletal System Drugs
52,2659,2014-02-23,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
53,2660,2014-02-24,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,2014,Musculo-Skeletal System Drugs
54,2661,2014-02-25,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
55,2662,2014-02-26,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,2014,Musculo-Skeletal System Drugs
56,2663,2014-02-27,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2014,Musculo-Skeletal System Drugs
57,2664,2014-02-28,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,2014,Musculo-Skeletal System Drugs
58,2665,2014-01-03,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2014,Musculo-Skeletal System Drugs
59,2666,2014-02-03,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
60,2667,2014-03-03,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,2014,Musculo-Skeletal System Drugs
61,2668,2014-04-03,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,2014,Musculo-Skeletal System Drugs
62,2669,2014-05-03,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,2014,Musculo-Skeletal System Drugs
63,2670,2014-06-03,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2014,Musculo-Skeletal System Drugs
64,2671,2014-07-03,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
65,2672,2014-08-03,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
66,2673,2014-09-03,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,2014,Musculo-Skeletal System Drugs
67,2674,2014-10-03,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
68,2675,2014-11-03,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2014,Musculo-Skeletal System Drugs
69,2676,2014-12-03,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2014,Musculo-Skeletal System Drugs
70,2677,2014-03-13,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2014,Musculo-Skeletal System Drugs
71,2678,2014-03-14,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,2014,Musculo-Skeletal System Drugs
72,2679,2014-03-15,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014,Musculo-Skeletal System Drugs
73,2680,2014-03-16,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2014,Musculo-Skeletal System Drugs
74,2681,2014-03-17,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
75,2682,2014-03-18,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,2014,Musculo-Skeletal System Drugs
76,2683,2014-03-19,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
77,2684,2014-03-20,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,2014,Musculo-Skeletal System Drugs
78,2685,2014-03-21,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,2014,Musculo-Skeletal System Drugs
79,2686,2014-03-22,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,2014,Musculo-Skeletal System Drugs
80,2687,2014-03-23,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,2014,Musculo-Skeletal System Drugs
81,2688,2014-03-24,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,2014,Musculo-Skeletal System Drugs
82,2689,2014-03-25,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,2014,Musculo-Skeletal System Drugs
83,2690,2014-03-26,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2014,Musculo-Skeletal System Drugs
84,2691,2014-03-27,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2014,Musculo-Skeletal System Drugs
85,2692,2014-03-28,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2014,Musculo-Skeletal System Drugs
86,2693,2014-03-29,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2014,Musculo-Skeletal System Drugs
87,2694,2014-03-30,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,2014,Musculo-Skeletal System Drugs
88,2695,2014-03-31,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2014,Musculo-Skeletal System Drugs
89,2696,2014-01-04,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014,Musculo-Skeletal System Drugs
90,2697,2014-02-04,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2014,Musculo-Skeletal System Drugs
91,2698,2014-03-04,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2014,Musculo-Skeletal System Drugs
92,2699,2014-04-04,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2014,Musculo-Skeletal System Drugs
93,2700,2014-05-04,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2014,Musculo-Skeletal System Drugs
94,2701,2014-06-04,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
95,2702,2014-07-04,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
96,2703,2014-08-04,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2014,Musculo-Skeletal System Drugs
97,2704,2014-09-04,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2014,Musculo-Skeletal System Drugs
98,2705,2014-10-04,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2014,Musculo-Skeletal System Drugs
99,2706,2014-11-04,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
100,2707,2014-12-04,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2014,Musculo-Skeletal System Drugs
101,2708,2014-04-13,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2014,Musculo-Skeletal System Drugs
102,2709,2014-04-14,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2014,Musculo-Skeletal System Drugs
103,2710,2014-04-15,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2014,Musculo-Skeletal System Drugs
104,2711,2014-04-16,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2014,Musculo-Skeletal System Drugs
105,2712,2014-04-17,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
106,2713,2014-04-18,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2014,Musculo-Skeletal System Drugs
107,2714,2014-04-19,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2014,Musculo-Skeletal System Drugs
108,2715,2014-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
109,2716,2014-04-21,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
110,2717,2014-04-22,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
111,2718,2014-04-23,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2014,Musculo-Skeletal System Drugs
112,2719,2014-04-24,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2014,Musculo-Skeletal System Drugs
113,2720,2014-04-25,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2014,Musculo-Skeletal System Drugs
114,2721,2014-04-26,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2014,Musculo-Skeletal System Drugs
115,2722,2014-04-27,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2014,Musculo-Skeletal System Drugs
116,2723,2014-04-28,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
117,2724,2014-04-29,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2014,Musculo-Skeletal System Drugs
118,2725,2014-04-30,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2014,Musculo-Skeletal System Drugs
119,2726,2014-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
120,2727,2014-02-05,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,2014,Musculo-Skeletal System Drugs
121,2728,2014-03-05,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,2014,Musculo-Skeletal System Drugs
122,2729,2014-04-05,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,2014,Musculo-Skeletal System Drugs
123,2730,2014-05-05,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,2014,Musculo-Skeletal System Drugs
124,2731,2014-06-05,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,2014,Musculo-Skeletal System Drugs
125,2732,2014-07-05,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,2014,Musculo-Skeletal System Drugs
126,2733,2014-08-05,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2014,Musculo-Skeletal System Drugs
127,2734,2014-09-05,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2014,Musculo-Skeletal System Drugs
128,2735,2014-10-05,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,2014,Musculo-Skeletal System Drugs
129,2736,2014-11-05,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2014,Musculo-Skeletal System Drugs
130,2737,2014-12-05,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,2014,Musculo-Skeletal System Drugs
131,2738,2014-05-13,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,2014,Musculo-Skeletal System Drugs
132,2739,2014-05-14,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,2014,Musculo-Skeletal System Drugs
133,2740,2014-05-15,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2014,Musculo-Skeletal System Drugs
134,2741,2014-05-16,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,2014,Musculo-Skeletal System Drugs
135,2742,2014-05-17,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
136,2743,2014-05-18,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
137,2744,2014-05-19,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,2014,Musculo-Skeletal System Drugs
138,2745,2014-05-20,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,2014,Musculo-Skeletal System Drugs
139,2746,2014-05-21,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2014,Musculo-Skeletal System Drugs
140,2747,2014-05-22,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,2014,Musculo-Skeletal System Drugs
141,2748,2014-05-23,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,2014,Musculo-Skeletal System Drugs
142,2749,2014-05-24,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,2014,Musculo-Skeletal System Drugs
143,2750,2014-05-25,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2014,Musculo-Skeletal System Drugs
144,2751,2014-05-26,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2014,Musculo-Skeletal System Drugs
145,2752,2014-05-27,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,2014,Musculo-Skeletal System Drugs
146,2753,2014-05-28,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,2014,Musculo-Skeletal System Drugs
147,2754,2014-05-29,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
148,2755,2014-05-30,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,2014,Musculo-Skeletal System Drugs
149,2756,2014-05-31,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,2014,Musculo-Skeletal System Drugs
150,2757,2014-01-06,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2014,Musculo-Skeletal System Drugs
151,2758,2014-02-06,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2014,Musculo-Skeletal System Drugs
152,2759,2014-03-06,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2014,Musculo-Skeletal System Drugs
153,2760,2014-04-06,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2014,Musculo-Skeletal System Drugs
154,2761,2014-05-06,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2014,Musculo-Skeletal System Drugs
155,2762,2014-06-06,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2014,Musculo-Skeletal System Drugs
156,2763,2014-07-06,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2014,Musculo-Skeletal System Drugs
157,2764,2014-08-06,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2014,Musculo-Skeletal System Drugs
158,2765,2014-09-06,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2014,Musculo-Skeletal System Drugs
159,2766,2014-10-06,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2014,Musculo-Skeletal System Drugs
160,2767,2014-11-06,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2014,Musculo-Skeletal System Drugs
161,2768,2014-12-06,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2014,Musculo-Skeletal System Drugs
162,2769,2014-06-13,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2014,Musculo-Skeletal System Drugs
163,2770,2014-06-14,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2014,Musculo-Skeletal System Drugs
164,2771,2014-06-15,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2014,Musculo-Skeletal System Drugs
165,2772,2014-06-16,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2014,Musculo-Skeletal System Drugs
166,2773,2014-06-17,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2014,Musculo-Skeletal System Drugs
167,2774,2014-06-18,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2014,Musculo-Skeletal System Drugs
168,2775,2014-06-19,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
169,2776,2014-06-20,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2014,Musculo-Skeletal System Drugs
170,2777,2014-06-21,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2014,Musculo-Skeletal System Drugs
171,2778,2014-06-22,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2014,Musculo-Skeletal System Drugs
172,2779,2014-06-23,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2014,Musculo-Skeletal System Drugs
173,2780,2014-06-24,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,Musculo-Skeletal System Drugs
174,2781,2014-06-25,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
175,2782,2014-06-26,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
176,2783,2014-06-27,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,2014,Musculo-Skeletal System Drugs
177,2784,2014-06-28,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,2014,Musculo-Skeletal System Drugs
178,2785,2014-06-29,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
179,2786,2014-06-30,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
180,2787,2014-01-07,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
181,2788,2014-02-07,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,2014,Musculo-Skeletal System Drugs
182,2789,2014-03-07,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
183,2790,2014-04-07,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,2014,Musculo-Skeletal System Drugs
184,2791,2014-05-07,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
185,2792,2014-06-07,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
186,2793,2014-07-07,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2014,Musculo-Skeletal System Drugs
187,2794,2014-08-07,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,2014,Musculo-Skeletal System Drugs
188,2795,2014-09-07,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,2014,Musculo-Skeletal System Drugs
189,2796,2014-10-07,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2014,Musculo-Skeletal System Drugs
190,2797,2014-11-07,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2014,Musculo-Skeletal System Drugs
191,2798,2014-12-07,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2014,Musculo-Skeletal System Drugs
192,2799,2014-07-13,2.0,1.34,1.0,17.0,2.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
193,2800,2014-07-14,5.0,3.04,3.0,11.8,19.0,1.0,2.0,2.0,2014,Musculo-Skeletal System Drugs
194,2801,2014-07-15,3.34,1.68,1.0,15.6,18.0,0.0,0.0,1.3,2014,Musculo-Skeletal System Drugs
195,2802,2014-07-16,4.0,3.34,3.0,13.0,12.0,1.0,4.0,0.0,2014,Musculo-Skeletal System Drugs
196,2803,2014-07-17,2.0,3.0,5.0,25.0,14.0,1.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
197,2804,2014-07-18,9.0,2.34,1.5,14.2,6.0,3.0,0.0,4.0,2014,Musculo-Skeletal System Drugs
198,2805,2014-07-19,7.33,7.02,6.0,8.4,10.0,0.0,6.0,6.0,2014,Musculo-Skeletal System Drugs
199,2806,2014-07-20,3.0,0.34,1.0,8.0,5.0,0.0,0.0,0.1,2014,Musculo-Skeletal System Drugs
200,2807,2014-07-21,3.0,4.68,8.0,20.0,13.0,1.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
201,2808,2014-07-22,5.0,5.68,3.0,9.0,7.0,0.0,1.0,2.0,2014,Musculo-Skeletal System Drugs
202,2809,2014-07-23,2.67,6.37,2.0,8.0,19.0,0.0,0.0,3.0,2014,Musculo-Skeletal System Drugs
203,2810,2014-07-24,5.34,2.0,4.4,23.0,5.0,0.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
204,2811,2014-07-25,5.0,2.02,7.5,10.0,15.0,1.0,1.0,2.0,2014,Musculo-Skeletal System Drugs
205,2812,2014-07-26,4.0,6.68,6.2,36.2,13.0,0.0,0.0,4.0,2014,Musculo-Skeletal System Drugs
206,2813,2014-07-27,3.0,1.34,2.0,10.0,5.0,0.0,6.0,1.0,2014,Musculo-Skeletal System Drugs
207,2814,2014-07-28,2.0,1.34,2.0,9.1,9.0,0.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
208,2815,2014-07-29,2.34,0.68,1.0,13.0,15.0,3.0,0.0,5.0,2014,Musculo-Skeletal System Drugs
209,2816,2014-07-30,0.68,1.34,5.0,13.5,14.0,0.0,6.0,4.5,2014,Musculo-Skeletal System Drugs
210,2817,2014-07-31,3.0,0.34,4.0,10.5,8.0,0.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
211,2818,2014-01-08,2.0,1.0,2.2,14.0,17.0,1.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
212,2819,2014-02-08,5.0,2.01,6.0,29.0,12.0,0.0,5.0,3.0,2014,Musculo-Skeletal System Drugs
213,2820,2014-03-08,5.0,1.0,3.0,6.0,5.0,5.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
214,2821,2014-04-08,4.0,5.02,6.0,21.5,14.0,0.0,0.0,4.0,2014,Musculo-Skeletal System Drugs
215,2822,2014-05-08,2.0,1.34,3.0,17.1,9.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
216,2823,2014-06-08,6.0,5.0,1.4,17.0,7.0,1.0,1.0,1.0,2014,Musculo-Skeletal System Drugs
217,2824,2014-07-08,3.34,2.68,3.0,33.0,13.0,1.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
218,2825,2014-08-08,5.02,4.02,5.0,13.0,12.0,3.0,2.0,2.0,2014,Musculo-Skeletal System Drugs
219,2826,2014-09-08,4.0,1.34,6.0,19.0,24.0,3.0,0.0,5.9,2014,Musculo-Skeletal System Drugs
