,id,datum,n02ba,year,ATC Classification,Drug Classification
73,2680,2014-03-16,1.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
74,2681,2014-03-17,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
75,2682,2014-03-18,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
76,2683,2014-03-19,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
77,2684,2014-03-20,1.6,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
78,2685,2014-03-21,4.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
79,2686,2014-03-22,0.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
80,2687,2014-03-23,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
81,2688,2014-03-24,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
82,2689,2014-03-25,9.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
83,2690,2014-03-26,9.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
84,2691,2014-03-27,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
85,2692,2014-03-28,8.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
86,2693,2014-03-29,4.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
87,2694,2014-03-30,0.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
88,2695,2014-03-31,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
89,2696,2014-01-04,6.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
90,2697,2014-02-04,8.9,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
91,2698,2014-03-04,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
92,2699,2014-04-04,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
93,2700,2014-05-04,10.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
94,2701,2014-06-04,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
95,2702,2014-07-04,6.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
96,2703,2014-08-04,1.7,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
97,2704,2014-09-04,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
98,2705,2014-10-04,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
99,2706,2014-11-04,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
100,2707,2014-12-04,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
101,2708,2014-04-13,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
102,2709,2014-04-14,5.35,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
103,2710,2014-04-15,6.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
104,2711,2014-04-16,4.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
105,2712,2014-04-17,7.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
106,2713,2014-04-18,8.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
107,2714,2014-04-19,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
108,2715,2014-04-20,0.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
109,2716,2014-04-21,2.1,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
110,2717,2014-04-22,3.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
111,2718,2014-04-23,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
112,2719,2014-04-24,1.1,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
113,2720,2014-04-25,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
114,2721,2014-04-26,5.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
115,2722,2014-04-27,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
116,2723,2014-04-28,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
117,2724,2014-04-29,4.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
118,2725,2014-04-30,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
119,2726,2014-01-05,0.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
120,2727,2014-02-05,6.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
121,2728,2014-03-05,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
122,2729,2014-04-05,1.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
123,2730,2014-05-05,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
124,2731,2014-06-05,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
125,2732,2014-07-05,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
126,2733,2014-08-05,3.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
127,2734,2014-09-05,4.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
128,2735,2014-10-05,9.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
129,2736,2014-11-05,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
130,2737,2014-12-05,9.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
131,2738,2014-05-13,6.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
132,2739,2014-05-14,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
133,2740,2014-05-15,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
134,2741,2014-05-16,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
135,2742,2014-05-17,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
136,2743,2014-05-18,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
137,2744,2014-05-19,6.1,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
138,2745,2014-05-20,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
139,2746,2014-05-21,9.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
140,2747,2014-05-22,1.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
141,2748,2014-05-23,3.9,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
142,2749,2014-05-24,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
143,2750,2014-05-25,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
144,2751,2014-05-26,7.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
145,2752,2014-05-27,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
146,2753,2014-05-28,1.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
147,2754,2014-05-29,6.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
148,2755,2014-05-30,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
149,2756,2014-05-31,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
150,2757,2014-01-06,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
151,2758,2014-02-06,10.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
152,2759,2014-03-06,2.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
153,2760,2014-04-06,3.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
154,2761,2014-05-06,4.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
155,2762,2014-06-06,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
156,2763,2014-07-06,7.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
157,2764,2014-08-06,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
158,2765,2014-09-06,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
159,2766,2014-10-06,4.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
160,2767,2014-11-06,2.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
161,2768,2014-12-06,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
162,2769,2014-06-13,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
163,2770,2014-06-14,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
164,2771,2014-06-15,0.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
165,2772,2014-06-16,7.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
166,2773,2014-06-17,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
167,2774,2014-06-18,4.7,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
168,2775,2014-06-19,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
169,2776,2014-06-20,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
170,2777,2014-06-21,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
171,2778,2014-06-22,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
172,2779,2014-06-23,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
173,2780,2014-06-24,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
174,2781,2014-06-25,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
175,2782,2014-06-26,11.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
176,2783,2014-06-27,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
177,2784,2014-06-28,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
178,2785,2014-06-29,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
179,2786,2014-06-30,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
180,2787,2014-01-07,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
181,2788,2014-02-07,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
182,2789,2014-03-07,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
183,2790,2014-04-07,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
184,2791,2014-05-07,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
185,2792,2014-06-07,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
186,2793,2014-07-07,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
187,2794,2014-08-07,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
188,2795,2014-09-07,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
189,2796,2014-10-07,8.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
190,2797,2014-11-07,3.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
191,2798,2014-12-07,10.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
192,2799,2014-07-13,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
193,2800,2014-07-14,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
194,2801,2014-07-15,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
195,2802,2014-07-16,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
196,2803,2014-07-17,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
197,2804,2014-07-18,1.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
198,2805,2014-07-19,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
199,2806,2014-07-20,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
200,2807,2014-07-21,8.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
201,2808,2014-07-22,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
202,2809,2014-07-23,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
203,2810,2014-07-24,4.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
204,2811,2014-07-25,7.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
205,2812,2014-07-26,6.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
206,2813,2014-07-27,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
207,2814,2014-07-28,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
208,2815,2014-07-29,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
209,2816,2014-07-30,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
210,2817,2014-07-31,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
211,2818,2014-01-08,2.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
212,2819,2014-02-08,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
213,2820,2014-03-08,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
214,2821,2014-04-08,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
215,2822,2014-05-08,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
216,2823,2014-06-08,1.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
217,2824,2014-07-08,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
218,2825,2014-08-08,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
219,2826,2014-09-08,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
220,2827,2014-10-08,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
221,2828,2014-11-08,9.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
222,2829,2014-12-08,4.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
223,2830,2014-08-13,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
224,2831,2014-08-14,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
225,2832,2014-08-15,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
226,2833,2014-08-16,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
227,2834,2014-08-17,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
228,2835,2014-08-18,3.1,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
229,2836,2014-08-19,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
230,2837,2014-08-20,1.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
231,2838,2014-08-21,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
232,2839,2014-08-22,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
233,2840,2014-08-23,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
234,2841,2014-08-24,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
235,2842,2014-08-25,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
236,2843,2014-08-26,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
237,2844,2014-08-27,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
238,2845,2014-08-28,6.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
239,2846,2014-08-29,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
240,2847,2014-08-30,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
241,2848,2014-08-31,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
242,2849,2014-01-09,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
243,2850,2014-02-09,5.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
244,2851,2014-03-09,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
245,2852,2014-04-09,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
246,2853,2014-05-09,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
247,2854,2014-06-09,2.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
248,2855,2014-07-09,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
249,2856,2014-08-09,3.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
250,2857,2014-09-09,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
251,2858,2014-10-09,3.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
252,2859,2014-11-09,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
253,2860,2014-12-09,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
254,2861,2014-09-13,4.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
255,2862,2014-09-14,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
256,2863,2014-09-15,5.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
257,2864,2014-09-16,0.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
